address_state,emp_length,grade,home_ownership,purpose,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,is_bad_loan,predicted_default_risk
GA,< 1 year,C,RENT,car, 60 months,Source Verified,30000.0,0.01,59.83,0.1527,2500,4,1,1
CA,9 years,E,RENT,car, 36 months,Source Verified,48000.0,0.0535,109.43,0.1864,3000,4,0,0
CA,4 years,C,RENT,car, 36 months,Not Verified,50000.0,0.2088,421.65,0.1596,12000,11,1,1
TX,< 1 year,B,MORTGAGE,car, 60 months,Source Verified,42000.0,0.054,97.06,0.1065,4500,9,0,0
IL,10+ years,A,MORTGAGE,car, 36 months,Verified,83000.0,0.0231,106.53,0.0603,3500,28,0,0
CA,3 years,C,RENT,car, 36 months,Not Verified,28000.0,0.126,275.96,0.1465,8000,11,0,0
TX,10+ years,C,MORTGAGE,car, 36 months,Verified,94800.0,0.2453,205.86,0.1427,6000,30,0,0
PA,10+ years,A,OWN,car, 36 months,Source Verified,59000.0,0.0665,172.1,0.079,5500,23,0,0
FL,10+ years,A,MORTGAGE,car, 36 months,Verified,116400.0,0.0394,762.08,0.089,24000,31,1,1
MI,10+ years,B,MORTGAGE,car, 60 months,Not Verified,36000.0,0.1773,93.21,0.1269,4125,21,0,0
TX,10+ years,B,MORTGAGE,car, 36 months,Not Verified,75000.0,0.088,181.15,0.1269,5400,33,0,0
CA,3 years,B,RENT,car, 36 months,Not Verified,75000.0,0.2288,374.26,0.1242,11200,13,1,1
CA,4 years,B,RENT,car, 36 months,Not Verified,35000.0,0.0401,165.38,0.1171,5000,3,0,0
CA,5 years,B,RENT,car, 36 months,Not Verified,48000.0,0.1533,268.36,0.1269,8000,15,0,0
IL,4 years,B,RENT,car, 36 months,Not Verified,92000.0,0.106,200.5,0.1242,6000,18,0,0
RI,< 1 year,B,RENT,car, 36 months,Source Verified,60000.0,0.063,400.99,0.1242,12000,14,1,1
TX,1 year,B,RENT,car, 36 months,Verified,16800.0,0.035,98.29,0.0991,3050,8,0,0
NY,4 years,C,RENT,car, 36 months,Source Verified,40000.0,0.1869,343.09,0.1427,10000,7,0,0
FL,10+ years,B,MORTGAGE,car, 36 months,Verified,35000.0,0.1392,162.87,0.1065,5000,23,0,0
MD,10+ years,D,OWN,car, 36 months,Not Verified,40000.0,0.0957,176.51,0.1629,5000,13,0,0
WI,6 years,A,RENT,car, 36 months,Not Verified,40000.0,0.0255,155.38,0.0743,5000,7,0,0
FL,< 1 year,A,MORTGAGE,car, 36 months,Not Verified,120000.0,0.0767,69.14,0.0743,2225,20,1,1
MI,< 1 year,B,MORTGAGE,car, 36 months,Not Verified,60000.0,0.1108,131.22,0.1114,4000,33,1,1
MD,4 years,C,OWN,car, 36 months,Not Verified,72000.0,0.0512,262.26,0.1109,8000,8,1,0
NV,10+ years,A,MORTGAGE,car, 36 months,Not Verified,70800.0,0.0795,77.95,0.0766,2500,39,1,1
PA,6 years,A,MORTGAGE,car, 36 months,Not Verified,80000.0,0.0648,124.45,0.0751,4000,11,1,1
GA,< 1 year,A,MORTGAGE,car, 36 months,Not Verified,36000.0,0.15,385.14,0.0963,12000,24,1,1
MI,10+ years,A,MORTGAGE,car, 36 months,Not Verified,45000.0,0.152,222.41,0.0894,7000,24,1,1
MI,3 years,A,MORTGAGE,car, 36 months,Not Verified,86400.0,0.0385,280.62,0.0766,9000,10,1,1
UT,6 years,A,MORTGAGE,car, 36 months,Not Verified,24600.0,0.0785,152.42,0.089,4800,21,1,1
GA,< 1 year,B,MORTGAGE,car, 36 months,Not Verified,30000.0,0.0992,164.85,0.1148,5000,19,1,1
WA,6 years,B,MORTGAGE,car, 36 months,Not Verified,48000.0,0.2357,197.83,0.1149,6000,27,1,1
FL,6 years,C,MORTGAGE,car, 36 months,Not Verified,60000.0,0.0366,217.32,0.1465,6300,10,1,1
FL,2 years,D,MORTGAGE,car, 36 months,Not Verified,34000.0,0.1486,210.07,0.157,6000,6,1,1
GA,< 1 year,A,OWN,car, 36 months,Not Verified,18000.0,0.216,148.59,0.0788,4750,16,1,0
CA,10+ years,A,OWN,car, 36 months,Not Verified,43800.0,0.0737,148.32,0.0705,4800,7,1,1
NH,10+ years,B,OWN,car, 36 months,Not Verified,98736.0,0.0812,50.58,0.1189,9000,19,1,1
TX,1 year,B,OWN,car, 36 months,Not Verified,48000.0,0.051,60.34,0.1074,1850,45,1,1
PA,< 1 year,C,OWN,car, 36 months,Not Verified,27852.0,0.1021,141.2,0.1284,4200,28,1,1
CA,6 years,A,RENT,car, 36 months,Not Verified,48000.0,0.2585,186.61,0.0749,6000,16,1,1
HI,7 years,A,RENT,car, 36 months,Not Verified,30000.0,0.1872,228.63,0.089,7200,25,1,0
WA,3 years,A,RENT,car, 36 months,Not Verified,22800.0,0.0526,75.76,0.0849,2400,3,1,1
FL,1 year,A,RENT,car, 36 months,Not Verified,12720.0,0.0,231.75,0.0705,7500,9,1,1
MA,5 years,B,RENT,car, 36 months,Not Verified,31000.0,0.0159,182.66,0.1136,5550,5,1,1
NV,8 years,B,RENT,car, 36 months,Not Verified,89650.0,0.0056,725.31,0.1148,22000,19,1,1
OK,3 years,B,RENT,car, 36 months,Not Verified,45000.0,0.1464,332.1,0.1199,10000,18,1,1
NJ,10+ years,B,RENT,car, 36 months,Not Verified,39996.0,0.2298,261.71,0.1095,8000,43,1,1
OH,< 1 year,B,RENT,car, 36 months,Not Verified,49800.0,0.174,163.68,0.1099,5000,13,1,1
IL,8 years,B,RENT,car, 36 months,Not Verified,15000.0,0.1688,106.61,0.1221,3200,19,1,1
CA,2 years,C,RENT,car, 36 months,Not Verified,48000.0,0.1753,200.47,0.1241,6000,14,1,1
TX,< 1 year,C,RENT,car, 36 months,Not Verified,37440.0,0.0772,98.7,0.1134,3000,14,1,1
AZ,7 years,C,RENT,car, 36 months,Not Verified,105000.0,0.135,382.74,0.1399,11200,29,1,1
FL,2 years,D,RENT,car, 36 months,Not Verified,15000.0,0.14,136.08,0.1367,4000,13,1,0
CA,4 years,D,RENT,car, 36 months,Not Verified,59100.0,0.1287,106.62,0.1677,3000,13,1,0
NY,4 years,B,MORTGAGE,car, 36 months,Not Verified,126000.0,0.1529,193.61,0.1,6000,22,1,1
